"RK","PLAYER NAME",TEAM,"POS","OPP","MATCHUP "
"1","Lamar Jackson",BAL,"QB1","vs. DET","3 out of 5 stars"
"2","Josh Allen",BUF,"QB2","vs. MIA","4 out of 5 stars"
"3","Christian McCaffrey",SF,"RB1","vs. ARI","3 out of 5 stars"
"4","Jalen Hurts",PHI,"QB3","vs. LAR","2 out of 5 stars"
"5","Dak Prescott",DAL,"QB4","at CHI","3 out of 5 stars"
"6","Bijan Robinson",ATL,"RB2","at CAR","4 out of 5 stars"
"7","Patrick Mahomes II",KC,"QB5","at NYG","4 out of 5 stars"
"8","CeeDee Lamb",DAL,"WR1","at CHI","3 out of 5 stars"
"9","Baker Mayfield",TB,"QB6","vs. NYJ","4 out of 5 stars"
"10","Ja'Marr Chase",CIN,"WR2","at MIN","3 out of 5 stars"
"11","Saquon Barkley",PHI,"RB3","vs. LAR","3 out of 5 stars"
"12","Justin Herbert",LAC,"QB7","vs. DEN","2 out of 5 stars"
"13","Drake Maye",NE,"QB8","vs. PIT","2 out of 5 stars"
"14","Jayden Daniels",WAS,"QB9","vs. LV","3 out of 5 stars"
"15","Caleb Williams",CHI,"QB10","vs. DAL","4 out of 5 stars"
"16","Malik Nabers",NYG,"WR3","vs. KC","4 out of 5 stars"
"17","James Cook",BUF,"RB4","vs. MIA","4 out of 5 stars"
"18","Kyler Murray",ARI,"QB11","at SF","2 out of 5 stars"
"19","Jahmyr Gibbs",DET,"RB5","at BAL","3 out of 5 stars"
"20","Bo Nix",DEN,"QB12","at LAC","3 out of 5 stars"
"21","Jordan Love",GB,"QB13","at CLE","4 out of 5 stars"
"22","Justin Jefferson",MIN,"WR4","vs. CIN","3 out of 5 stars"
"23","De'Von Achane",MIA,"RB6","at BUF","4 out of 5 stars"
"24","Derrick Henry",BAL,"RB7","vs. DET","3 out of 5 stars"
"25","Jared Goff",DET,"QB14","at BAL","3 out of 5 stars"
"26","Daniel Jones",IND,"QB15","at TEN","4 out of 5 stars"
"27","Puka Nacua",LAR,"WR5","at PHI","2 out of 5 stars"
"28","Amon-Ra St. Brown",DET,"WR6","at BAL","3 out of 5 stars"
"29","Bucky Irving",TB,"RB8","vs. NYJ","2 out of 5 stars"
"30","Jonathan Taylor",IND,"RB9","at TEN","3 out of 5 stars"
"31","Michael Penix Jr.",ATL,"QB16","at CAR","5 out of 5 stars"
"32","Trevor Lawrence",JAC,"QB17","vs. HOU","2 out of 5 stars"
"33","Nico Collins",HOU,"WR7","at JAC","4 out of 5 stars"
"34","Jaxon Smith-Njigba",SEA,"WR8","vs. NO","2 out of 5 stars"
"35","Justin Fields",NYJ,"QB18","at TB","4 out of 5 stars"
"36","C.J. Stroud",HOU,"QB19","at JAC","5 out of 5 stars"
"37","Mac Jones",SF,"QB20","vs. ARI","3 out of 5 stars"
"38","Geno Smith",LV,"QB21","at WAS","4 out of 5 stars"
"39","Jake Browning",CIN,"QB22","at MIN","2 out of 5 stars"
"40","Chase Brown",CIN,"RB10","at MIN","2 out of 5 stars"
"41","Sam Darnold",SEA,"QB23","vs. NO","2 out of 5 stars"
"42","Drake London",ATL,"WR9","at CAR","3 out of 5 stars"
"43","Josh Jacobs",GB,"RB11","at CLE","4 out of 5 stars"
"44","Matthew Stafford",LAR,"QB24","at PHI","1 out of 5 stars"
"45","Trey McBride",ARI,"TE1","at SF","4 out of 5 stars"
"46","Brian Thomas Jr.",JAC,"WR10","vs. HOU","3 out of 5 stars"
"47","Russell Wilson",NYG,"QB25","vs. KC","2 out of 5 stars"
"48","Bryce Young",CAR,"QB26","vs. ATL","4 out of 5 stars"
"49","Ashton Jeanty",LV,"RB12","at WAS","4 out of 5 stars"
"50","Travis Etienne Jr.",JAC,"RB13","vs. HOU","2 out of 5 stars"
"51","Alvin Kamara",NO,"RB14","at SEA","3 out of 5 stars"
"52","Aaron Rodgers",PIT,"QB27","at NE","4 out of 5 stars"
"53","Garrett Wilson",NYJ,"WR11","at TB","2 out of 5 stars"
"54","Zay Flowers",BAL,"WR12","vs. DET","2 out of 5 stars"
"55","Carson Wentz",MIN,"QB28","vs. CIN","4 out of 5 stars"
"56","Davante Adams",LAR,"WR13","at PHI","2 out of 5 stars"
"57","James Conner",ARI,"RB15","at SF","4 out of 5 stars"
"58","Ladd McConkey",LAC,"WR14","vs. DEN","3 out of 5 stars"
"59","Breece Hall",NYJ,"RB16","at TB","2 out of 5 stars"
"60","Javonte Williams",DAL,"RB17","at CHI","3 out of 5 stars"
"61","Brock Bowers",LV,"TE2","at WAS","3 out of 5 stars"
"62","Jordan Mason",MIN,"RB18","vs. CIN","4 out of 5 stars"
"63","Tua Tagovailoa",MIA,"QB29","at BUF","3 out of 5 stars"
"64","Kenneth Walker III",SEA,"RB19","vs. NO","4 out of 5 stars"
"65","A.J. Brown",PHI,"WR15","vs. LAR","3 out of 5 stars"
"66","DK Metcalf",PIT,"WR16","at NE","4 out of 5 stars"
"67","Kyren Williams",LAR,"RB20","at PHI","2 out of 5 stars"
"68","Cam Ward",TEN,"QB30","vs. IND","4 out of 5 stars"
"69","Marvin Harrison Jr.",ARI,"WR17","at SF","4 out of 5 stars"
"70","Chuba Hubbard",CAR,"RB21","vs. ATL","2 out of 5 stars"
"71","Jaylen Warren",PIT,"RB22","at NE","4 out of 5 stars"
"72","Emeka Egbuka",TB,"WR18","vs. NYJ","3 out of 5 stars"
"73","Tetairoa McMillan",CAR,"WR19","vs. ATL","4 out of 5 stars"
"74","Mike Evans",TB,"WR20","vs. NYJ","3 out of 5 stars"
"75","Spencer Rattler",NO,"QB31","at SEA","2 out of 5 stars"
"76","Rome Odunze",CHI,"WR21","vs. DAL","3 out of 5 stars"
"77","Tee Higgins",CIN,"WR22","at MIN","3 out of 5 stars"
"78","Tony Pollard",TEN,"RB23","vs. IND","3 out of 5 stars"
"79","Deebo Samuel Sr.",WAS,"WR23","vs. LV","3 out of 5 stars"
"80","J.K. Dobbins",DEN,"RB24","at LAC","2 out of 5 stars"
"81","Joe Flacco",CLE,"QB32","vs. GB","2 out of 5 stars"
"82","Courtland Sutton",DEN,"WR24","at LAC","3 out of 5 stars"
"83","Tyreek Hill",MIA,"WR25","at BUF","4 out of 5 stars"
"84","Omarion Hampton",LAC,"RB25","vs. DEN","2 out of 5 stars"
"85","D'Andre Swift",CHI,"RB26","vs. DAL","4 out of 5 stars"
"86","DeVonta Smith",PHI,"WR26","vs. LAR","3 out of 5 stars"
"87","Jakobi Meyers",LV,"WR27","at WAS","2 out of 5 stars"
"88","George Pickens",DAL,"WR28","at CHI","3 out of 5 stars"
"89","Terry McLaurin",WAS,"WR29","vs. LV","3 out of 5 stars"
"90","Jameson Williams",DET,"WR30","at BAL","3 out of 5 stars"
"91","DJ Moore",CHI,"WR31","vs. DAL","3 out of 5 stars"
"92","Tucker Kraft",GB,"TE3","at CLE","3 out of 5 stars"
"93","Marquise Brown",KC,"WR32","at NYG","4 out of 5 stars"
"94","Jacory Croskey-Merritt",WAS,"RB27","vs. LV","4 out of 5 stars"
"95","Chris Olave",NO,"WR33","at SEA","3 out of 5 stars"
"96","David Montgomery",DET,"RB28","at BAL","3 out of 5 stars"
"97","Tyler Warren",IND,"TE4","at TEN","3 out of 5 stars"
"98","Ricky Pearsall",SF,"WR34","vs. ARI","4 out of 5 stars"
"99","Jauan Jennings",SF,"WR35","vs. ARI","4 out of 5 stars"
"100","Keenan Allen",LAC,"WR36","vs. DEN","3 out of 5 stars"
"101","Jaylen Waddle",MIA,"WR37","at BUF","4 out of 5 stars"
"102","Isiah Pacheco",KC,"RB29","at NYG","4 out of 5 stars"
"103","Calvin Ridley",TEN,"WR38","vs. IND","4 out of 5 stars"
"104","Travis Hunter",JAC,"WR39","vs. HOU","3 out of 5 stars"
"105","Michael Pittman Jr.",IND,"WR40","at TEN","3 out of 5 stars"
"106","Travis Kelce",KC,"TE5","at NYG","3 out of 5 stars"
"107","Sam LaPorta",DET,"TE6","at BAL","3 out of 5 stars"
"108","Khalil Shakir",BUF,"WR41","vs. MIA","3 out of 5 stars"
"109","Stefon Diggs",NE,"WR42","vs. PIT","2 out of 5 stars"
"110","Rhamondre Stevenson",NE,"RB30","vs. PIT","4 out of 5 stars"
"111","TreVeyon Henderson",NE,"RB31","vs. PIT","4 out of 5 stars"
"112","Wan'Dale Robinson",NYG,"WR43","vs. KC","4 out of 5 stars"
"113","Zach Charbonnet",SEA,"RB32","vs. NO","4 out of 5 stars"
"114","Cedric Tillman",CLE,"WR44","vs. GB","3 out of 5 stars"
"115","Jerry Jeudy",CLE,"WR45","vs. GB","3 out of 5 stars"
"116","Keon Coleman",BUF,"WR46","vs. MIA","3 out of 5 stars"
"117","Juwan Johnson",NO,"TE7","at SEA","4 out of 5 stars"
"118","Cooper Kupp",SEA,"WR47","vs. NO","2 out of 5 stars"
"119","Kayshon Boutte",NE,"WR48","vs. PIT","2 out of 5 stars"
"120","Nick Chubb",HOU,"RB33","at JAC","3 out of 5 stars"
"121","Quentin Johnston",LAC,"WR49","vs. DEN","3 out of 5 stars"
"122","Zach Ertz",WAS,"TE8","vs. LV","3 out of 5 stars"
"123","Quinshon Judkins",CLE,"RB34","vs. GB","2 out of 5 stars"
"124","Josh Downs",IND,"WR50","at TEN","3 out of 5 stars"
"125","Darnell Mooney",ATL,"WR51","at CAR","3 out of 5 stars"
"126","Rashid Shaheed",NO,"WR52","at SEA","3 out of 5 stars"
"127","Jake Ferguson",DAL,"TE9","at CHI","3 out of 5 stars"
"128","T.J. Hockenson",MIN,"TE10","vs. CIN","3 out of 5 stars"
"129","Romeo Doubs",GB,"WR53","at CLE","4 out of 5 stars"
"130","Troy Franklin",DEN,"WR54","at LAC","3 out of 5 stars"
"131","Kyle Pitts Sr.",ATL,"TE11","at CAR","3 out of 5 stars"
"132","Elic Ayomanor",TEN,"WR55","vs. IND","4 out of 5 stars"
"133","Cam Skattebo",NYG,"RB35","vs. KC","2 out of 5 stars"
"134","Matthew Golden",GB,"WR56","at CLE","4 out of 5 stars"
"135","Bhayshul Tuten",JAC,"RB36","vs. HOU","2 out of 5 stars"
"136","Dyami Brown",JAC,"WR57","vs. HOU","3 out of 5 stars"
"137","Rashod Bateman",BAL,"WR58","vs. DET","2 out of 5 stars"
"138","David Njoku",CLE,"TE12","vs. GB","3 out of 5 stars"
"139","Dontayvion Wicks",GB,"WR59","at CLE","4 out of 5 stars"
"140","Evan Engram",DEN,"TE13","at LAC","2 out of 5 stars"
"141","Harold Fannin Jr.",CLE,"TE14","vs. GB","3 out of 5 stars"
"142","Hunter Henry",NE,"TE15","vs. PIT","4 out of 5 stars"
"143","Calvin Austin III",PIT,"WR60","at NE","4 out of 5 stars"
"144","Tyrone Tracy Jr.",NYG,"RB37","vs. KC","2 out of 5 stars"
"145","Mark Andrews",BAL,"TE16","vs. DET","3 out of 5 stars"
"146","Marvin Mims Jr.",DEN,"WR61","at LAC","3 out of 5 stars"
"147","Trey Benson",ARI,"RB38","at SF","4 out of 5 stars"
"148","Brenton Strange",JAC,"TE17","vs. HOU","3 out of 5 stars"
"149","Dalton Kincaid",BUF,"TE18","vs. MIA","2 out of 5 stars"
"150","Tyler Allgeier",ATL,"RB39","at CAR","4 out of 5 stars"
"151","Adam Thielen",MIN,"WR62","vs. CIN","3 out of 5 stars"
"152","Joshua Palmer",BUF,"WR63","vs. MIA","3 out of 5 stars"
"153","DeMario Douglas",NE,"WR64","vs. PIT","2 out of 5 stars"
"154","Chig Okonkwo",TEN,"TE19","vs. IND","4 out of 5 stars"
"155","RJ Harvey",DEN,"RB40","at LAC","2 out of 5 stars"
"156","Ja'Tavion Sanders",CAR,"TE20","vs. ATL","5 out of 5 stars"
"157","Tyquan Thornton",KC,"WR65","at NYG","4 out of 5 stars"
"158","DeAndre Hopkins",BAL,"WR66","vs. DET","2 out of 5 stars"
"159","Xavier Legette",CAR,"WR67","vs. ATL","4 out of 5 stars"
"160","Jonnu Smith",PIT,"TE21","at NE","3 out of 5 stars"
"161","Rachaad White",TB,"RB41","vs. NYJ","2 out of 5 stars"
"162","Colston Loveland",CHI,"TE22","vs. DAL","4 out of 5 stars"
"163","Pat Freiermuth",PIT,"TE23","at NE","3 out of 5 stars"
"164","Tory Horton",SEA,"WR68","vs. NO","2 out of 5 stars"
"165","Jayden Higgins",HOU,"WR69","at JAC","4 out of 5 stars"
"166","Cade Otton",TB,"TE24","vs. NYJ","3 out of 5 stars"
"167","Alec Pierce",IND,"WR70","at TEN","3 out of 5 stars"
"168","Jerome Ford",CLE,"RB42","vs. GB","2 out of 5 stars"
"169","Kareem Hunt",KC,"RB43","at NYG","4 out of 5 stars"
"170","Dalton Schultz",HOU,"TE25","at JAC","4 out of 5 stars"
"171","Jalen Nailor",MIN,"WR71","vs. CIN","3 out of 5 stars"
"172","Mike Gesicki",CIN,"TE26","at MIN","3 out of 5 stars"
"173","Hunter Renfrow",CAR,"WR72","vs. ATL","4 out of 5 stars"
"174","Jake Tonges",SF,"TE27","vs. ARI","2 out of 5 stars"
"175","Malik Washington",MIA,"WR73","at BUF","4 out of 5 stars"
"176","Braelon Allen",NYJ,"RB44","at TB","2 out of 5 stars"
"177","Theo Johnson",NYG,"TE28","vs. KC","3 out of 5 stars"
"178","Najee Harris",LAC,"RB45","vs. DEN","2 out of 5 stars"
"179","Dylan Sampson",CLE,"RB46","vs. GB","2 out of 5 stars"
"180","Christian Kirk",HOU,"WR74","at JAC","4 out of 5 stars"
