"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Brandon Aubrey",DAL,"at CAR","2 out of 5 stars","A","8.9"
"2","Chase McLaughlin",TB,"vs. SF","1 out of 5 stars","B+","8.6"
"3","Cameron Dicker",LAC,"at MIA","4 out of 5 stars","B","8.3"
"4","Matt Prater",BUF,"at ATL","5 out of 5 stars","B","8.3"
"5","Brandon McManus",GB,"vs. CIN","2 out of 5 stars","B","8.2"
"6","Harrison Butker",KC,"vs. DET","2 out of 5 stars","B-","8.1"
"7","Joshua Karty",LAR,"at BAL","4 out of 5 stars","C+","8.0"
"8","Jason Myers",SEA,"at JAC","1 out of 5 stars","C+","7.7"
"9","Matt Gay",WAS,"vs. CHI","2 out of 5 stars","C+","7.7"
"10","Jake Bates",DET,"at KC","3 out of 5 stars","C","7.7"
"11","Wil Lutz",DEN,"at NYJ","5 out of 5 stars","C","7.6"
"12","Cam Little",JAC,"vs. SEA","2 out of 5 stars","C","7.4"
"13","Chris Boswell",PIT,"vs. CLE","1 out of 5 stars","C","7.4"
"14","Eddy Pineiro",SF,"at TB","2 out of 5 stars","C","7.3"
"15","Jake Elliott",PHI,"at NYG","4 out of 5 stars","C","7.3"
"16","Chad Ryland",ARI,"at IND","1 out of 5 stars","C","7.3"
"17","Cairo Santos",CHI,"at WAS","2 out of 5 stars","C-","7.3"
"18","Tyler Loop",BAL,"vs. LAR","5 out of 5 stars","C-","7.2"
"19","Daniel Carlson",LV,"vs. TEN","2 out of 5 stars","D+","7.1"
"20","Parker Romo",ATL,"vs. BUF","3 out of 5 stars","D+","7.0"
"21","Joey Slye",TEN,"at LV","4 out of 5 stars","D+","6.8"
"22","Michael Badgley",IND,"vs. ARI","4 out of 5 stars","D","6.8"
"23","Andy Borregales",NE,"at NO","3 out of 5 stars","D","6.5"
"24","Nick Folk",NYJ,"vs. DEN","4 out of 5 stars","D","6.5"
"25","Ryan Fitzgerald",CAR,"vs. DAL","4 out of 5 stars","D","6.5"
"26","Blake Grupe",NO,"vs. NE","1 out of 5 stars","D","6.5"
"27","Riley Patterson",MIA,"vs. LAC","4 out of 5 stars","D","6.3"
"28","Evan McPherson",CIN,"at GB","2 out of 5 stars","D-","5.8"
"29","Jude McAtamney",NYG,"vs. PHI","4 out of 5 stars","D-","5.3"
"30","Andre Szmyt",CLE,"at PIT","2 out of 5 stars","F","4.9"
"31","Jason Sanders",MIA,"vs. LAC","4 out of 5 stars","F","4.2"
