"RK","PLAYER NAME",TEAM,"POS","OPP","UPSIDE ","BUST ","MATCHUP "
"1","Bijan Robinson",ATL,"RB1","vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"2","Christian McCaffrey",SF,"RB2","at HOU","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"3","Patrick Mahomes II",KC,"QB1","vs. WAS","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"4","Josh Allen",BUF,"QB2","at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"5","Jonathan Taylor",IND,"RB3","vs. TEN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"6","Jalen Hurts",PHI,"QB3","vs. NYG","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"7","Bo Nix",DEN,"QB4","vs. DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"8","Baker Mayfield",TB,"QB5","at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"9","Ja'Marr Chase",CIN,"WR1","vs. NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"10","Daniel Jones",IND,"QB6","vs. TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"11","Drake Maye",NE,"QB7","vs. CLE","Coach Upside rating","Coach Bust rating","1 out of 5 stars"
"12","Dak Prescott",DAL,"QB8","at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"13","De'Von Achane",MIA,"RB4","at ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"14","Justin Herbert",LAC,"QB9","vs. MIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"15","Caleb Williams",CHI,"QB10","at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"16","Jordan Love",GB,"QB11","at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"17","Rachaad White",TB,"RB5","at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"18","CeeDee Lamb",DAL,"WR2","at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"19","Jaxson Dart",NYG,"QB12","at PHI","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"20","Rashee Rice",KC,"WR3","vs. WAS","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"21","Joe Flacco",CIN,"QB13","vs. NYJ","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
""
"22","Justin Jefferson",MIN,"WR4","at LAC","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"23","Josh Jacobs",GB,"RB6","at PIT","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"24","Saquon Barkley",PHI,"RB7","vs. NYG","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"25","Emeka Egbuka",TB,"WR5","at NO","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"26","Justin Fields",NYJ,"QB14","at CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"27","James Cook III",BUF,"RB8","at CAR","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"28","Javonte Williams",DAL,"RB9","at DEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"29","Aaron Rodgers",PIT,"QB15","vs. GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"30","Drake London",ATL,"WR6","vs. MIA","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"31","C.J. Stroud",HOU,"QB16","vs. SF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"32","Marcus Mariota",WAS,"QB17","at KC","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"33","Spencer Rattler",NO,"QB18","vs. TB","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"34","Chris Olave",NO,"WR7","vs. TB","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"35","Carson Wentz",MIN,"QB19","at LAC","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"36","DeVonta Smith",PHI,"WR8","vs. NYG","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"37","Courtland Sutton",DEN,"WR9","vs. DAL","Coach Upside rating","Coach Bust rating","5 out of 5 stars"
"38","Breece Hall",NYJ,"RB10","at CIN","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"39","Derrick Henry",BAL,"RB11","vs. CHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"40","Mac Jones",SF,"QB20","at HOU","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"41","Rome Odunze",CHI,"WR10","at BAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"42","Jaylen Warren",PIT,"RB12","vs. GB","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"43","Andy Dalton",CAR,"QB21","vs. BUF","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"44","Quinshon Judkins",CLE,"RB13","at NE","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"45","Tyler Warren",IND,"TE1","vs. TEN","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"46","Kirk Cousins",ATL,"QB22","vs. MIA","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars"
"47","George Pickens",DAL,"WR11","at DEN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"48","Ladd McConkey",LAC,"WR12","vs. MIN","Coach Upside rating","Coach Bust rating","2 out of 5 stars"
"49","DK Metcalf",PIT,"WR13","vs. GB","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"50","Cam Skattebo",NYG,"RB14","at PHI","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"51","Stefon Diggs",NE,"WR14","vs. CLE","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
"52","J.K. Dobbins",DEN,"RB15","vs. DAL","Coach Upside rating","Coach Bust rating","4 out of 5 stars"
"53","Jaylen Waddle",MIA,"WR15","at ATL","Coach Upside rating","Coach Bust rating","3 out of 5 stars"
